MatchID,Date,BeyA,BeyB,ScoreA,ScoreB,MatchType,SeasonID,Tier,Matchday,arena
M0126,2025-12-27,PegasusBlast,WizardRod,2,5,exhibition,,,,Xtreme
M0127,2025-12-27,LeonClaw,FoxBrush,1,5,exhibition,,,,Xtreme
M0128,2025-12-27,UnicornSting,CrimsonGaruda,4,0,exhibition,,,,Xtreme
M0129,2025-12-27,ImpactDrake,ScorpioSpear,0,4,exhibition,,,,Xtreme
M0130,2025-12-27,KnightMail,PhoenixRudder,5,0,exhibition,,,,Xtreme
M0131,2025-12-27,BlackShell,LeonCrest,2,4,exhibition,,,,Xtreme
M0132,2025-12-27,WhaleWave,WizardArc,5,2,exhibition,,,,Xtreme
M0133,2025-12-27,SilverWolf,SharkEdge,2,4,exhibition,,,,Xtreme
M0134,2025-12-27,DranBuster,PhoenixWing,6,0,exhibition,,,,Xtreme
M0135,2025-12-27,HellsChain,PerseusDark,2,6,exhibition,,,,Xtreme
M0136,2025-12-27,GolemRock,WhaleWave,4,0,exhibition,,,,Xtreme
M0137,2025-12-27,FoxBrush,DranBuster,6,0,exhibition,,,,Xtreme
M0138,2025-12-27,CerberusFlame,GolemRock,0,5,exhibition,,,,Xtreme
M0139,2025-12-27,DranDagger,PerseusDark,4,1,exhibition,,,,Xtreme
M0140,2025-12-27,TuskMammoth,ScorpioSpear,4,3,exhibition,,,,Xtreme
M0141,2025-12-27,LeonClaw,LeonCrest,3,4,exhibition,,,,Xtreme
M0142,2025-12-27,KnightMail,SharkEdge,0,4,exhibition,,,,Xtreme
M0143,2025-12-27,RhinoReaper,WhaleWave,3,5,exhibition,,,,Xtreme
M0144,2025-12-27,ImpactDrake,PhoenixWing,3,6,exhibition,,,,Xtreme
M0145,2025-12-27,SilverWolf,DranBrave,3,5,exhibition,,,,Xtreme
M0146,2025-12-27,HellsChain,BlackShell,4,0,exhibition,,,,Xtreme
M0147,2025-12-27,WhaleFlame,UnicornSting,0,4,exhibition,,,,Xtreme
M0148,2025-12-27,PhoenixRudder,WizardRod,0,4,exhibition,,,,Xtreme
M0149,2025-12-27,WizardArc,HellsReaper,3,5,exhibition,,,,Xtreme
M0150,2025-12-27,TyrannoBeat,CrimsonGaruda,2,4,exhibition,,,,Xtreme
M0151,2025-12-27,LeonClaw,WizardRod,4,2,exhibition,,,,Xtreme
M0152,2025-12-27,CerberusFlame,CrimsonGaruda,5,3,exhibition,,,,Xtreme
M0153,2025-12-27,UnicornSting,DranBrave,1,4,exhibition,,,,Xtreme
M0154,2025-12-27,HellsChain,HellsReaper,0,4,exhibition,,,,Xtreme
M0155,2025-12-27,PhoenixWing,KnightMail,4,0,exhibition,,,,Xtreme
M0156,2025-12-27,DranBuster,ScorpioSpear,2,5,exhibition,,,,Xtreme
M0157,2025-12-27,PerseusDark,RhinoReaper,6,3,exhibition,,,,Xtreme
M0158,2025-12-27,PhoenixWing,ScorpioSpear,1,5,exhibition,,,,Xtreme
M0159,2025-12-27,HellsReaper,PerseusDark,4,2,exhibition,,,,Xtreme
M0160,2025-12-27,LeonCrest,WhaleWave,4,3,exhibition,,,,Xtreme
M0161,2025-12-27,DranSword,CerberusFlame,5,0,exhibition,,,,Xtreme
M0162,2025-12-27,DranDagger,LeonClaw,0,5,exhibition,,,,Xtreme
M0163,2025-12-27,FoxBrush,GolemRock,0,6,exhibition,,,,Xtreme
M0164,2025-12-27,WeissTiger,DranBrave,4,2,exhibition,,,,Xtreme
M0165,2025-12-27,TuskMammoth,SharkEdge,5,2,exhibition,,,,Xtreme
M0166,2025-12-27,ViperTail,ScorpioSpear,5,0,exhibition,,,,Xtreme
M0167,2025-12-27,CobaltDragoon,HellsReaper,1,5,exhibition,,,,Xtreme
M0168,2025-12-27,DranSword,LeonClaw,6,3,exhibition,,,,Xtreme
M0169,2025-12-27,WeissTiger,TuskMammoth,0,4,exhibition,,,,Xtreme
M0170,2025-12-27,ViperTail,LeonCrest,0,4,exhibition,,,,Xtreme
M0171,2025-12-27,HellsReaper,GolemRock,2,4,exhibition,,,,Xtreme
M0172,2025-12-27,LeonCrest,DranSword,5,1,exhibition,,,,Xtreme
M0173,2025-12-27,GolemRock,TuskMammoth,3,6,exhibition,,,,Xtreme
M0174,2025-12-27,DranSword,GolemRock,4,0,exhibition,,,,Xtreme
M0175,2025-12-27,LeonCrest,TuskMammoth,8,2,exhibition,,,,Xtreme
M0176,2026-01-04,SolEclipse,CobaltDrake,5,2,exhibition,,,,Xtreme
M0177,2026-01-04,SharkScale,SolEclipse,4,2,exhibition,,,,Xtreme
M0178,2026-01-04,FoxBrush,CobaltDrake,4,3,exhibition,,,,Xtreme
M0179,2026-01-04,HellsChain,WeissTiger,5,0,exhibition,,,,Xtreme
M0180,2026-01-04,HellsReaper,LeonCrest,6,1,exhibition,,,,Xtreme
M0181,2026-01-04,DranBrave,DranBuster,4,3,exhibition,,,,Xtreme
M0182,2026-01-04,GolemRock,WizardRod,5,3,exhibition,,,,Xtreme
M0183,2026-01-04,SharkEdge,PerseusDark,0,4,exhibition,,,,Xtreme
M0184,2026-01-04,SharkScale,LeonClaw,5,0,exhibition,,,,Xtreme
M0185,2026-01-04,TuskMammoth,SamuraiSaber,4,2,exhibition,,,,Xtreme
M0186,2026-01-04,CerberusFlame,RhinoReaper,4,0,exhibition,,,,Xtreme
M0187,2026-01-04,CobaltDragoon,KnightMail,4,0,exhibition,,,,Xtreme
M0188,2026-01-04,DranSword,ImpactDrake,0,5,exhibition,,,,Xtreme
M0189,2026-01-04,WhaleWave,TyrannoBeat,5,0,exhibition,,,,Xtreme
M0190,2026-01-04,WizardArc,ViperTail,3,5,exhibition,,,,Xtreme
M0191,2026-01-04,BlackShell,SolEclipse,0,6,exhibition,,,,Xtreme
M0192,2026-01-04,UnicornSting,WhaleFlame,4,2,exhibition,,,,Xtreme
M0193,2026-01-04,CrimsonGaruda,WizardArrow,4,0,exhibition,,,,Xtreme
M0194,2026-01-04,FoxBrush,HellsChain,0,4,exhibition,,,,Xtreme
M0195,2026-01-04,HellsReaper,DranBrave,0,4,exhibition,,,,Xtreme
M0196,2026-01-04,GolemRock,PerseusDark,4,0,exhibition,,,,Xtreme
M0197,2026-01-04,SharkScale,TuskMammoth,2,5,exhibition,,,,Xtreme
M0198,2026-01-04,CerberusFlame,CobaltDragoon,4,2,exhibition,,,,Xtreme
M0199,2026-01-04,ImpactDrake,WhaleWave,4,1,exhibition,,,,Xtreme
M0200,2026-01-04,ViperTail,SolEclipse,2,5,exhibition,,,,Xtreme
M0201,2026-01-04,UnicornSting,CrimsonGaruda,0,4,exhibition,,,,Xtreme
M0202,2026-01-04,HellsChain,DranBrave,1,4,exhibition,,,,Xtreme
M0203,2026-01-04,GolemRock,TuskMammoth,4,0,exhibition,,,,Xtreme
M0204,2026-01-04,CerberusFlame,ImpactDrake,4,2,exhibition,,,,Xtreme
M0205,2026-01-04,SolEclipse,CrimsonGaruda,3,4,exhibition,,,,Xtreme
M0206,2026-01-04,HellsChain,TuskMammoth,3,4,exhibition,,,,Xtreme
M0207,2026-01-04,ImpactDrake,SolEclipse,6,3,exhibition,,,,Xtreme
M0208,2026-01-04,TuskMammoth,ImpactDrake,5,3,exhibition,,,,Xtreme
M0209,2026-01-04,DranBrave,GolemRock,0,4,exhibition,,,,Xtreme
M0210,2026-01-04,CerberusFlame,CrimsonGaruda,0,4,exhibition,,,,Xtreme
M0211,2026-01-04,DranBrave,CerberusFlame,5,1,exhibition,,,,Xtreme
M0212,2026-01-04,GolemRock,CrimsonGaruda,7,0,exhibition,,,,Xtreme
M0213,2026-01-04,SharkScale,SharkEdge,4,0,exhibition,,,,Xtreme
M0214,2026-01-04,CobaltDrake,CobaltDragoon,2,4,exhibition,,,,Xtreme
M0215,2026-01-04,SharkScale,CobaltDragoon,3,5,exhibition,,,,Xtreme
M0216,2026-01-04,PhoenixWing,CobaltDrake,5,0,exhibition,,,,Xtreme
M0217,2026-01-04,CobaltDrake,PegasusBlast,4,3,exhibition,,,,Xtreme
M0218,2026-01-04,PegasusBlast,SamuraiSaber,4,2,exhibition,,,,Xtreme
M0219,2026-01-04,GolemRock,PhoenixWing,0,5,exhibition,,,,Xtreme
M0220,2026-01-04,GolemRock,DranBuster,5,3,exhibition,,,,Xtreme
M0221,2026-01-04,GolemRock,DranSword,5,0,exhibition,,,,Xtreme
M0222,2026-01-04,SolEclipse,ScorpioSpear,0,5,exhibition,,,,Xtreme
M0223,2026-01-04,SilverWolf,SolEclipse,2,4,exhibition,,,,Xtreme
M0224,2026-01-04,DranSword,TyrannoBeat,4,2,exhibition,,,,Xtreme
M0225,2026-01-30,DranDagger,ValkyrieVolt,0,5,exhibition,,,,Drop Attack
M0226,2026-01-30,DranBrave,PegasusBlast,2,4,exhibition,,,,Drop Attack
M0227,2026-01-30,ImpactDrake,TuskMammoth,0,4,exhibition,,,,Drop Attack
M0228,2026-01-30,DranSword,SamuraiSaber,0,5,exhibition,,,,Drop Attack
M0229,2026-01-30,PhoenixWing,CobaltDragoon,4,1,exhibition,,,,Drop Attack
M0230,2026-01-30,CobaltDrake,DranBuster,5,0,exhibition,,,,Drop Attack
M0231,2026-01-30,TyrannoBeat,FoxBrush,4,0,exhibition,,,,Drop Attack
M0232,2026-01-30,SharkEdge,SharkScale,0,4,exhibition,,,,Drop Attack
M0233,2026-01-30,ValkyrieVolt,PegasusBlast,4,0,exhibition,,,,Drop Attack
M0234,2026-01-30,TuskMammoth,SamuraiSaber,0,4,exhibition,,,,Drop Attack
M0235,2026-01-30,PhoenixWing,CobaltDrake,4,1,exhibition,,,,Drop Attack
M0236,2026-01-30,TyrannoBeat,SharkScale,0,5,exhibition,,,,Drop Attack
M0237,2026-01-30,ValkyrieVolt,SamuraiSaber,5,0,exhibition,,,,Drop Attack
M0238,2026-01-30,PhoenixWing,SharkScale,0,4,exhibition,,,,Drop Attack
M0239,2026-01-30,SamuraiSaber,PhoenixWing,4,0,exhibition,,,,Drop Attack
M0240,2026-01-30,ValkyrieVolt,SharkScale,8,4,exhibition,,,,Drop Attack
M0241,2026-01-30,WeissTiger,TuskMammoth,0,5,exhibition,,,,DropAttack
M0242,2026-01-30,DranSword,DranDagger,2,5,exhibition,,,,DropAttack
M0243,2026-01-30,SolEclipse,ScorpioSpear,0,5,exhibition,,,,DropAttack
M0244,2026-01-30,WizardArrow,CrimsonGaruda,0,4,exhibition,,,,DropAttack
M0245,2026-01-30,TyrannoBeat,PerseusDark,0,4,exhibition,,,,DropAttack
M0246,2026-01-30,LeonClaw,WhaleWave,0,4,exhibition,,,,DropAttack
M0247,2026-01-30,WizardArc,GolemRock,5,0,exhibition,,,,DropAttack
M0248,2026-01-30,LeonCrest,HellsChain,0,4,exhibition,,,,DropAttack
M0249,2026-01-30,TuskMammoth,DranDagger,3,5,exhibition,,,,DropAttack
M0250,2026-01-30,ScorpioSpear,CrimsonGaruda,5,2,exhibition,,,,DropAttack
M0251,2026-01-30,PerseusDark,WhaleWave,3,4,exhibition,,,,DropAttack
M0252,2026-01-30,WizardArc,HellsChain,4,0,exhibition,,,,DropAttack
M0253,2026-01-30,DranDagger,ScorpioSpear,2,4,exhibition,,,,DropAttack
M0254,2026-01-30,WhaleWave,WizardArc,5,3,exhibition,,,,DropAttack
M0255,2026-01-30,DranDagger,WizardArc,2,4,exhibition,,,,DropAttack
M0256,2026-01-30,ScorpioSpear,WhaleWave,7,2,exhibition,,,,DropAttack
M0257,2026-01-30,HellsChain,CrimsonGaruda,4,2,season,S1,3,1,Xtreme
M0258,2026-01-30,SharkEdge,WizardRod,4,3,season,S1,3,1,Xtreme
M0259,2026-01-30,WhaleWave,SilverWolf,3,4,season,S1,3,1,Xtreme
M0260,2026-01-30,RhinoReaper,UnicornSting,2,4,season,S1,3,1,Xtreme
M0261,2026-01-30,LeonClaw,ValkyrieVolt,4,2,season,S1,3,1,Xtreme
M0262,2026-01-30,DranBrave,HellsReaper,3,4,season,S1,2,1,Xtreme
M0263,2026-01-30,PhoenixWing,KnightMail,0,4,season,S1,2,1,Xtreme
M0264,2026-01-30,DranDagger,PerseusDark,3,5,season,S1,2,1,Xtreme
M0265,2026-01-30,SharkScale,SolEclipse,6,2,season,S1,2,1,Xtreme
M0266,2026-01-30,WyvernHover,WeissTiger,4,2,season,S1,2,1,Xtreme
M0267,2026-01-30,DranSword,CobaltDragoon,1,4,season,S1,1,1,Xtreme
M0268,2026-01-30,FoxBrush,LeonCrest,0,4,season,S1,1,1,Xtreme
M0269,2026-01-30,TuskMammoth,ScorpioSpear,4,0,season,S1,1,1,Xtreme
M0270,2026-01-30,GolemRock,CerberusFlame,4,3,season,S1,1,1,Xtreme
M0271,2026-01-30,ViperTail,ImpactDrake,0,4,season,S1,1,1,Xtreme
M0272,2026-02-11,ValkyrieVolt,SharkEdge,4,0,season,S1,3,2,Xtreme
M0273,2026-02-11,UnicornSting,HellsChain,0,4,season,S1,3,2,Xtreme
M0274,2026-02-11,SilverWolf,RhinoReaper,2,4,season,S1,3,2,Xtreme
M0275,2026-02-11,WizardRod,WhaleWave,4,2,season,S1,3,2,Xtreme
M0276,2026-02-11,CrimsonGaruda,LeonClaw,2,5,season,S1,3,2,Xtreme
M0277,2026-02-11,WeissTiger,PhoenixWing,4,0,season,S1,2,2,Xtreme
M0278,2026-02-11,SolEclipse,DranBrave,0,4,season,S1,2,2,Xtreme
M0279,2026-02-11,PerseusDark,SharkScale,2,5,season,S1,2,2,Xtreme
M0280,2026-02-11,KnightMail,DranDagger,6,2,season,S1,2,2,Xtreme
M0281,2026-02-11,HellsReaper,WyvernHover,1,4,season,S1,2,2,Xtreme
M0282,2026-02-11,ImpactDrake,FoxBrush,6,0,season,S1,1,2,Xtreme
M0283,2026-02-11,CerberusFlame,DranSword,1,4,season,S1,1,2,Xtreme
M0284,2026-02-11,ScorpioSpear,GolemRock,4,0,season,S1,1,2,Xtreme
M0285,2026-02-11,LeonCrest,TuskMammoth,0,4,season,S1,1,2,Xtreme
M0286,2026-02-11,CobaltDragoon,ViperTail,6,2,season,S1,1,2,Xtreme
M0287,2026-02-11,DranSword,ScorpioSpear,0,5,season,S1,1,3,Xtreme
M0288,2026-02-11,TuskMammoth,ImpactDrake,5,2,season,S1,1,3,Xtreme
M0289,2026-02-11,GolemRock,LeonCrest,0,5,season,S1,1,3,Xtreme
M0290,2026-02-11,ViperTail,FoxBrush,2,4,season,S1,1,3,Xtreme
M0291,2026-02-11,CobaltDragoon,CerberusFlame,4,0,season,S1,1,3,Xtreme
M0292,2026-02-11,DranBrave,PerseusDark,0,4,season,S1,2,3,Xtreme
M0293,2026-02-11,DranDagger,WeissTiger,2,5,season,S1,2,3,Xtreme
M0294,2026-02-11,SharkScale,KnightMail,4,0,season,S1,2,3,Xtreme
M0295,2026-02-11,WyvernHover,PhoenixWing,4,0,season,S1,2,3,Xtreme
M0296,2026-02-11,HellsReaper,SolEclipse,4,0,season,S1,2,3,Xtreme
M0297,2026-02-11,HellsChain,SilverWolf,2,5,season,S1,3,3,Xtreme
M0298,2026-02-11,WhaleWave,ValkyrieVolt,0,4,season,S1,3,3,Xtreme
M0299,2026-02-11,RhinoReaper,WizardRod,5,1,season,S1,3,3,Xtreme
M0300,2026-02-11,LeonClaw,SharkEdge,4,3,season,S1,3,3,Xtreme
M0301,2026-02-11,CrimsonGaruda,UnicornSting,0,4,season,S1,3,3,Xtreme
M0302,2026-02-11,EmperorMight,WolfHunt,0,4,exhibition,,,,Xtreme
M0303,2026-02-11,TuskMammoth,EmperorMight,4,0,exhibition,,,,Xtreme
M0304,2026-02-11,TuskMammoth,WolfHunt,4,0,exhibition,,,,Xtreme
M0305,2026-02-11,TuskMammoth,WyvernHover,4,0,exhibition,,,,Xtreme
M0306,2026-02-11,TuskMammoth,ValkyrieVolt,0,5,exhibition,,,,Xtreme
M0307,2026-02-11,SharkScale,CerberusFlame,4,1,exhibition,,,,Xtreme
M0308,2026-02-11,SolEclipse,SharkEdge,5,0,exhibition,,,,Xtreme
M0309,2026-02-11,EmperorMight,WolfHunt,4,2,exhibition,,,,DropAttack
M0310,2026-02-11,PhoenixWing,CobaltDragoon,2,4,exhibition,,,,DropAttack
M0311,2026-02-11,ImpactDrake,CobaltDrake,5,2,exhibition,,,,DropAttack
M0312,2026-02-13,WizardArc,LeonClaw,4,0,exhibition,,,,DropAttack
M0313,2026-02-13,SamuraiSaber,CobaltDrake,2,6,exhibition,,,,DropAttack
M0314,2026-02-13,PhoenixWing,ValkyrieVolt,0,5,exhibition,,,,DropAttack
M0315,2026-02-13,TuskMammoth,LeonCrest,0,4,exhibition,,,,DropAttack
M0316,2026-02-13,WizardArc,CobaltDrake,4,2,exhibition,,,,DropAttack
M0317,2026-02-13,ValkyrieVolt,LeonCrest,5,2,exhibition,,,,DropAttack
